0,Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),img_caption,text_title
1,1,1,00:00:00.000,0.0,3840,00:02:33.600,153.6,3840,00:02:33.600,الرئيس المصري السيسي يقف.,الرئيس السيسي يفتتح نهر النيل سوهاج        وهنا المقال كاملا:         وصل الرئيس عبد الفتاح السيسي، اليوم الأربعاء، إلى مشروع نهر النيل سوهاج، إيذانا بالافتتاح الرسمي للمشروع.         ويهدف المشروع، الذي تم الانتهاء منه بعد عدة سنوات من العمل، إلى تطوير نهر النيل والمناطق المحيطة به في سوهاج.         ورافق الرئيس عدد من كبار المسؤولين، من بينهم وزير الري والموارد المائية، ووزير النقل، ومحافظ سوهاج.         وأشاد الرئيس السيسي، خلال حفل الافتتاح، بجهود الشعب المصري في استكمال المشروع، الذي قال إنه سيكون له تأثير كبير على اقتصاد المنطقة والبنية التحتية.         يعد مشروع النيل سوهاج أحد مشروعات التنمية الكبرى العديدة التي نفذتها الحكومة المصرية في السنوات الأخيرة، بهدف تحسين البنية التحتية للبلاد وتعزيز اقتصادها.         ومن المتوقع أن يكون للمشروع أثر إيجابي على اقتصاد المنطقة، وخلق فرص عمل، وجذب الاستثمارات.         كما أعلن الرئيس السيسي أنه سيتم توسعة المشروع خلال السنوات المقبلة بهدف تطوير نهر النيل والمناطق المحيطة به.         وتأتي زيارة الرئيس لمشروع نهر النيل سوهاج في إطار جهوده المستمرة لتعزيز التنمية الاقتصادية وتحسين حياة الشعب المصري.         ويعد المشروع إنجازا كبيرا للحكومة المصرية، ومن المتوقع أن يكون له تأثير كبير على اقتصاد المنطقة والبنية التحتية.         وتعد زيارة الرئيس السيسي للمشروع دليلا واضحا على التزامه بتعزيز التنمية الاقتصادية وتحسين حياة الشعب المصري.         ويعد مشروع النيل سوهاج مثالا ساطعا لما يمكن تحقيقه عندما تعمل الحكومة والقطاع الخاص والشعب معا لتحقيق هدف مشترك.         ويعد المشروع شهادة على براعة وتصميم الشعب المصري، ومن المتوقع أن يكون له تأثير إيجابي على اقتصاد المنطقة لسنوات قادمة.
2,2,3841,00:02:33.600,153.6,4576,00:03:03.040,183.04,736,00:00:29.440,يتمركز السيسي مع مستشاريه السيسي.,أكبر مركز تسوق
3,3,4577,00:03:03.040,183.04,17334,00:11:33.360,693.36,12758,00:08:30.320,السيسي يتمركز مع مستشاريه لمشروعاته.,الجسر
4,4,17335,00:11:33.360,693.36,18051,00:12:02.040,722.04,717,00:00:28.680,يتم وضع السيسي ضمن فريقه الاستشاري.,الرئيس السيسي يفتتح مشروعات تنموية في قنا وسوهاج
5,5,18052,00:12:02.040,722.04,21600,00:14:24.000,864.0,3549,00:02:21.960,يتم وضع السيسي بين مستشاريه، السيسي.,1.5 مليون فدان و43 ألف فدان زراعة بمنطقتي المراشدة والفرافرة.
6,6,21601,00:14:24.000,864.0,22073,00:14:42.920,882.92,473,00:00:18.920,رئيس مصر الرئيس السيسي.,"""حلول النقل الفعالة"""
7,7,22074,00:14:42.920,882.92,22907,00:15:16.280,916.28,834,00:00:33.360,العرض الرئاسي.,استهلاك الطاقة والوقود عبر بعض الطرق الطويلة
8,8,22908,00:15:16.280,916.28,23213,00:15:28.520,928.52,306,00:00:12.240,إجراءات LCC.,الرئيس يفتتح صوامع القمح
9,9,23214,00:15:28.520,928.52,26368,00:17:34.720,1054.72,3155,00:02:06.200,السيسي يقف مع المستشارين، السيسي.,بتمويل إماراتي الرئيس يفتتح مشروع 1.5 مليون فدان بصعيد مصر
10,10,26369,00:17:34.720,1054.72,26624,00:17:44.960,1064.96,256,00:00:10.240,السيسي يقف مع المستشارين.,لا يوجد نص
11,11,26625,00:17:44.960,1064.96,27377,00:18:15.080,1095.08,753,00:00:30.120,يتم وضع السيسي ضمن فريقه من المستشارين.,لا يوجد نص
12,12,27378,00:18:15.080,1095.08,27412,00:18:16.480,1096.48,35,00:00:01.400,يتمركز السيسي مع فريقه الاستشاري من المستشارين.,لا يوجد نص
